OQ,SOQ,OM,SOM,MQ,SMQ
Oral,62,Oral,62,MT,82
Oral,100,Oral,100,MT,93.33
Oral,37.5,Oral,37.5,MT,46.67
Oral,75,Oral,75,MT,80
Oral,50,Oral,50,MT,45.33
Oral,90,Oral,90,MT,93.33
Oral,100,Oral,100,MT,100
Oral,50,Oral,50,MT,87.33
Oral,67,Oral,67,MT,81.33
Oral,50,Oral,50,MT,33.33
Oral,62.5,Oral,62.5,MT,95.33
Oral,100,Oral,100,MT,99.33
Oral,87.5,Oral,87.5,MT,91.33
Oral,77,Oral,77,MT,30
Oral,91,Oral,91,MT,60
Oral,50,Oral,50,MT,70
Oral,62.5,Oral,62.5,MT,100
Oral,77,Oral,77,MT,88.67
Oral,87.5,Oral,87.5,MT,90.67
Oral,100,Oral,100,MT,100
Oral,87.5,Oral,87.5,MT,70.07
Oral,39,Oral,39,MT,89.33
Oral,90,Oral,90,MT,76
Oral,100,Oral,100,MT,76.67
Oral,100,Oral,100,MT,96
Oral,90,Oral,90,MT,92.33
Oral,75,Oral,75,MT,88.33
Oral,90,Oral,90,MT,95
Oral,0,Oral,0,MT,46.67
Oral,100,Oral,100,MT,96.67
Oral,65,Oral,65,MT,87.67
Oral,90,Oral,90,MT,86.67
Oral,75,Oral,75,MT,93.33
Oral,90,Oral,90,MT,89.33
Oral,55,Oral,55,MT,75.33
Oral,60,Oral,60,MT,70
Oral,65,Oral,65,MT,81.33
Oral,72.5,Oral,72.5,MT,83.33
Oral,72.5,Oral,72.5,MT,100
Oral,85,Oral,85,MT,83.33
Oral,45,Oral,45,MT,90
Oral,85,Oral,85,MT,90
Oral,65,Oral,65,MT,83.33
Oral,85,Oral,85,MT,93.33
Oral,72.5,Oral,72.5,MT,83.33
Oral,50,Oral,50,MT,90
Oral,65,Oral,65,MT,90
Oral,85,Oral,85,MT,93.33
Oral,45,Oral,45,MT,93.33
Oral,100,Oral,100,MT,93.33
Oral,30,Oral,30,MT,83.33
Oral,30,Oral,30,MT,90
Oral,100,Oral,100,MT,96.67
Oral,85,Oral,85,MT,90
Oral,50,Oral,50,MT,83.33
Oral,60,Oral,60,MT,92
Oral,60,Oral,60,MT,78
Oral,80,Oral,80,MT,80
Oral,90,Oral,90,MT,94.67
Oral,60,Oral,60,MT,80.67
Oral,100,Oral,100,MT,94
Oral,50,Oral,50,MT,72.67
Oral,100,Oral,100,MT,83.33
Oral,50,Oral,50,MT,83.33
Oral,70,Oral,70,MT,93.33
Oral,45,Oral,45,MT,66.67
Oral,77,Oral,77,MT,91.33
Oral,70,Oral,70,MT,96.67
Oral,70,Oral,70,MT,92.67
Oral,90,Oral,90,MT,74.67
Oral,100,Oral,100,MT,93.33
Oral,60,Oral,60,MT,92.67
Oral,60,Oral,60,MT,89.33
Oral,40,Oral,40,MT,86
Oral,0,Oral,0,MT,80
Oral,50,Oral,50,MT,89.33
Oral,30,Oral,30,MT,72.67
Oral,50,Oral,50,MT,96.67
Oral,87.5,Oral,87.5,MT,96.67
Oral,50,Oral,50,MT,100
Oral,25,Oral,25,MT,90
Oral,55,Oral,55,MT,85
Oral,90,Oral,90,MT,100
Oral,60,Oral,60,MT,100
Oral,75,Oral,75,MT,90
Oral,65,Oral,65,MT,95
Oral,90,Oral,90,MT,100
Oral,50,Oral,50,MT,95
Oral,50,Oral,50,MT,90
Oral,35,Oral,35,MT,95
Oral,50,Oral,50,MT,90
Oral,85,Oral,85,MT,100
Oral,75,Oral,75,MT,100
Oral,70,Oral,70,MT,97
Oral,45,Oral,45,MT,60
Oral,50,Oral,50,MT,90
Oral,70,Oral,70,MT,90
Oral,100,Oral,100,MT,100
Oral,70,Oral,70,MT,80
Oral,100,Oral,100,MT,100
Oral,60,Oral,60,MT,90
Oral,25,Oral,25,MT,90
Oral,85,Oral,85,MT,95
Oral,65,Oral,65,MT,60
Oral,85,Oral,85,MT,97.5
Oral,65,Oral,65,MT,80
Oral,85,Oral,85,MT,65
Oral,65,Oral,65,MT,80
Oral,85,Oral,85,MT,75
Oral,85,Oral,85,MT,99.5
Oral,100,Oral,100,MT,95
Oral,25,Oral,25,MT,92.5
Oral,70,Oral,70,MT,75
Oral,100,Oral,100,MT,90
Oral,50,Oral,50,MT,87.5
Oral,65,Oral,65,MT,82.5
Oral,65,Oral,65,MT,45
Oral,100,Oral,100,MT,97.5
Q,62.67,MT,82,Q,62.67
Q,97.33,MT,93.33,Q,97.33
Q,73.33,MT,46.67,Q,73.33
Q,91.33,MT,80,Q,91.33
Q,74.67,MT,45.33,Q,74.67
Q,94.67,MT,93.33,Q,94.67
Q,90,MT,100,Q,90
Q,76.67,MT,87.33,Q,76.67
Q,82,MT,81.33,Q,82
Q,62.67,MT,33.33,Q,62.67
Q,72,MT,95.33,Q,72
Q,80.67,MT,99.33,Q,80.67
Q,82.67,MT,91.33,Q,82.67
Q,72.67,MT,30,Q,72.67
Q,68.67,MT,60,Q,68.67
Q,56.67,MT,70,Q,56.67
Q,100,MT,100,Q,100
Q,86.67,MT,88.67,Q,86.67
Q,84.67,MT,90.67,Q,84.67
